Drug_ID,SMILES,Affinity_Score
Virtual_Drug_08750,NC(=N)c1ccc(cc1)CCCCCCN,-5.5
Virtual_Drug_01630,NC(=N)c1ccc(cc1)CCCCCCO,-5.5
Virtual_Drug_07813,NC(=N)c1ccc(cc1)CCCCCCN,-5.5
Virtual_Drug_08916,NC(=N)c1ccc(cc1)CCCCCCN,-5.5
Virtual_Drug_06772,NC(=N)c1ccc(cc1)CCCCCCN,-5.5
Virtual_Drug_07106,NC(=N)c1ccc(cc1)CCCCCCN,-5.5
Virtual_Drug_04951,NC(=N)c1ccc(cc1)CCCCCCN,-5.4
Virtual_Drug_06376,NC(=N)c1ccc(cc1)CCCCCCN,-5.4
Virtual_Drug_03100,NC(=N)c1ccc(cc1)CCCCCCN,-5.4
Virtual_Drug_03110,NC(=N)c1ccc(cc1)CCCCCN,-5.4
Virtual_Drug_08075,NC(=N)c1ccc(cc1)CCCCCCN,-5.4
Virtual_Drug_04826,NC(=N)c1ccc(cc1)CCCCCCN,-5.4
Virtual_Drug_03399,NC(=N)c1ccc(cc1)CCCCCCO,-5.4
Virtual_Drug_08613,NC(=N)c1ccc(cc1)CCCCCCN,-5.4
Virtual_Drug_03195,NC(=N)c1ccc(cc1)CCCCCCO,-5.4
Virtual_Drug_03999,NC(=N)c1ccc(cc1)CCCCCCN,-5.4
Virtual_Drug_07926,NC(=N)c1ccc(cc1)CCCCCCN,-5.4
Virtual_Drug_08001,NC(=N)c1ccc(cc1)CCCCCCN,-5.4
Virtual_Drug_05293,NC(=N)c1ccc(cc1)CCCCCN,-5.4
Virtual_Drug_01399,NC(=N)c1ccc(cc1)CCCCCCO,-5.4
Virtual_Drug_08942,NC(=N)c1ccc(cc1)CCCCCCN,-5.4
Virtual_Drug_03457,NC(=N)c1ccc(cc1)CCCCCCN,-5.4
Virtual_Drug_02963,NC(=N)c1ccc(cc1)CCCCCCO,-5.4
Virtual_Drug_03014,NC(=N)c1ccc(cc1)CCCCCCN,-5.4
Virtual_Drug_03493,NC(=N)c1ccc(cc1)CCCCCCN,-5.4
Virtual_Drug_00646,NC(=N)c1ccc(cc1)CCCCCCN,-5.4
Virtual_Drug_02896,NC(=N)c1ccc(cc1)CCCCCCO,-5.4
Virtual_Drug_07603,NC(=N)c1ccc(cc1)CCCCCN,-5.4
Virtual_Drug_00601,NC(=N)c1ccc(cc1)CCCCCCN,-5.4
Virtual_Drug_04510,NC(=N)c1ccc(cc1)CCCCCCCCF,-5.4
Virtual_Drug_01204,NC(=N)c1ccc(cc1)CCCCCCCCCl,-5.4
Virtual_Drug_04907,NC(=N)c1ccc(cc1)CCCCCN,-5.4
Virtual_Drug_04491,NC(=N)c1ccc(cc1)CCCCCN,-5.4
Virtual_Drug_00554,NC(=N)c1ccc(cc1)CCCCCCN,-5.4
Virtual_Drug_01715,NC(=N)c1ccc(cc1)CCCCCCN,-5.4
Virtual_Drug_03888,NC(=N)c1ccc(cc1)CCCCCCN,-5.4
Virtual_Drug_09366,NC(=N)c1ccc(cc1)CCCCCCN,-5.4
Virtual_Drug_01740,NC(=N)c1ccc(cc1)CCCCCCCCF,-5.4
Virtual_Drug_05761,NC(=N)c1ccc(cc1)CCCCCN,-5.4
Virtual_Drug_02400,NC(=N)c1ccc(cc1)CCCCCCN,-5.4
Virtual_Drug_07372,NC(=N)c1ccc(cc1)CCCCCCCCCl,-5.4
Virtual_Drug_09418,NC(=N)c1ccc(cc1)CCCCCCCCCl,-5.4
Virtual_Drug_07308,NC(=N)c1ccc(cc1)CCCCCCCCF,-5.4
Virtual_Drug_04381,NC(=N)c1ccc(cc1)CCCCCCN,-5.4
Virtual_Drug_07228,NC(=N)c1ccc(cc1)CCCCCCCCCl,-5.4
Virtual_Drug_09493,NC(=N)c1ccc(cc1)CCCCCN,-5.4
Virtual_Drug_07172,NC(=N)c1ccc(cc1)CCCCCCO,-5.4
Virtual_Drug_09327,NC(=N)c1ccc(cc1)CCCCCCCCF,-5.4
Virtual_Drug_07155,NC(=N)c1ccc(cc1)CCCCCCN,-5.4
